DrLLPSID UniProtID Genename EnsemblGeneID Species Condensate LLPSType References 
LLPS-Hos-1144 Q92973 TNPO1 ENSG00000083312.17 Homo_sapiens Droplet,Stress-granule,Postsynapticdensity Regulator 2.96775132967751E+23 
LLPS-Hos-1173 Q9UKV0 HDAC9 ENSG00000048052.21 Homo_sapiens PML-nuclear-body Regulator 27833022 
LLPS-Hos-1192 P49765 VEGFB ENSG00000173511.9 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1197 O95985 TOP3B ENSG00000100038.19 Homo_sapiens P-body,Stress-granule Regulator 2939506729471490 
LLPS-Hos-1209 Q53GS7 GLE1 ENSG00000119392.14 Homo_sapiens P-body,Stress-granule Regulator 2939506725694440 
LLPS-Hos-1215 Q8TEU7 RAPGEF6 ENSG00000158987.20 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1217 Q14739 LBR ENSG00000143815.14 Homo_sapiens Droplet,Stress-granule Regulator 28636604 
LLPS-Hos-1241 Q96F86 EDC3 ENSG00000179151.12 Homo_sapiens P-body,Stress-granule Regulator 2.32249632990871E+39 
LLPS-Hos-1248 O43541 SMAD6 ENSG00000137834.14 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1254 P54646 PRKAA2 ENSG00000162409.10 Homo_sapiens Stress-granule Regulator 2621776327430620 
LLPS-Hos-1258 Q6NYC1 JMJD6 ENSG00000070495.14 Homo_sapiens Stress-granule Regulator 28972166 
LLPS-Hos-1260 Q86UT6 NLRX1 ENSG00000160703.15 Homo_sapiens MitochondrialRNAgranule Regulator 2993298930715480 
LLPS-Hos-1264 Q05996 ZP2 ENSG00000103310.10 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1274 Q14332 FZD2 ENSG00000180340.6 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1283 P62913 RPL11 ENSG00000142676.14 Homo_sapiens Nucleolus,P-body,Stress-granule Regulator 2.41272171981239E+39 
LLPS-Hos-1289 P21333 FLNA ENSG00000196924.15 Homo_sapiens Droplet,Postsynapticdensity Regulator 28202730 
LLPS-Hos-1327 Q8TDQ0 HAVCR2 ENSG00000135077.8 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1361 P08621 SNRNP70 ENSG00000104852.14 Homo_sapiens GeminiofCajal-body,Nucleolus Regulator 25052091 
LLPS-Hos-1373 P02452 COL1A1 ENSG00000108821.13 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1376 Q01543 FLI1 ENSG00000151702.16 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-1389 Q13535 ATR ENSG00000175054.14 Homo_sapiens DNAdamagefoci,Nuclear-speckle,Nucleolus,PML-nuclear-body Regulator 2577326529030390 
LLPS-Hos-1393 Q8ND56 LSM14A ENSG00000257103.8 Homo_sapiens P-body,Stress-granule Regulator 2.89658171911119E+47 
LLPS-Hos-1403 Q96I25 RBM17 ENSG00000134453.15 Homo_sapiens Nuclear-speckle,Stress-granule Regulator 28760995 
LLPS-Hos-1404 Q9BXW9 FANCD2 ENSG00000144554.10 Homo_sapiens Nuclear-speckle,PML-nuclear-body Regulator 29030393 
LLPS-Hos-1418 Q8IWB6 TEX14 ENSG00000121101.15 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-1426 P29372 MPG ENSG00000103152.11 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1455 Q969L4 LSM10 ENSG00000181817.5 Homo_sapiens Histonelocusbody Regulator 28867047 
LLPS-Hos-1461 P45983 MAPK8 ENSG00000107643.16 Homo_sapiens Centrosome/Spindlepolebody,P-body,Stress-granule Regulator 1.17087961991048E+23 
LLPS-Hos-1485 P49711 CTCF ENSG00000102974.15 Homo_sapiens Histonelocusbody,PcGbody,Centrosome/Spindlepolebody Regulator 28504305 
LLPS-Hos-1496 P84103 SRSF3 ENSG00000112081.16 Homo_sapiens Nuclear-speckle,P-body,Stress-granule Regulator 2.28555292687693E+31 
LLPS-Hos-1501 Q8N543 OGFOD1 ENSG00000087263.16 Homo_sapiens Stress-granule Regulator 24550447 
LLPS-Hos-1503 Q92583 CCL17 ENSG00000102970.10 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-1506 Q9UM07 PADI4 ENSG00000159339.13 Homo_sapiens Stress-granule Regulator 29425503 
LLPS-Hos-1510 P29122 PCSK6 ENSG00000140479.16 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-1517 P55008 AIF1 ENSG00000204472.12 Homo_sapiens Stress-granule Regulator 15316071 
LLPS-Hos-1534 Q9BPY3 FAM118B ENSG00000197798.8 Homo_sapiens Cajal-body Regulator 24569877 
LLPS-Hos-1543 O43347 MSI1 ENSG00000135097.6 Homo_sapiens P-body,Stress-granule Regulator 2.8965817267774E+39 
LLPS-Hos-1544 P54132 BLM ENSG00000197299.11 Homo_sapiens Nucleolus,PML-nuclear-body Regulator 1563541324413050 
LLPS-Hos-1548 Q8N1F8 STK11IP ENSG00000144589.21 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1551 Q13555 CAMK2G ENSG00000148660.20 Homo_sapiens Droplet,Centrosome/Spindlepolebody,Postsynapticdensity Regulator 29976799 
LLPS-Hos-1571 Q99523 SORT1 ENSG00000134243.11 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-1579 A6NIX2 WTIP ENSG00000142279.12 Homo_sapiens P-body Regulator 30179602 
LLPS-Hos-1591 Q9Y2L1 DIS3 ENSG00000083520.14 Homo_sapiens Nucleolus,Paraspeckle Regulator 1.24298491563541E+31 
LLPS-Hos-1600 Q99873 PRMT1 ENSG00000126457.21 Homo_sapiens Droplet,Stress-granule Regulator 2.93580762967751E+23 
LLPS-Hos-1601 P30876 POLR2B ENSG00000047315.15 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1611 Q86TB9 PATL1 ENSG00000166889.13 Homo_sapiens Cajal-body,P-body,Stress-granule Regulator 2876820223535170 
LLPS-Hos-1631 P46781 RPS9 ENSG00000170889.13 Homo_sapiens Nucleolus,Stress-granule Regulator 1.98123951563541E+23 
LLPS-Hos-1633 Q8NI77 KIF18A ENSG00000121621.6 Homo_sapiens Centrosome/Spindlepolebody,Stress-granule Regulator 1826709318794840 
LLPS-Hos-1647 Q09472 EP300 ENSG00000100393.12 Homo_sapiens PML-nuclear-body,Stress-granule Regulator 1533143918794840 
LLPS-Hos-1653 P07550 ADRB2 ENSG00000169252.5 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1656 P43405 SYK ENSG00000165025.14 Homo_sapiens Centrosome/Spindlepolebody,Stress-granule,Receptorcluster Regulator 1.6322234268708E+23 
LLPS-Hos-1659 O76064 RNF8 ENSG00000112130.16 Homo_sapiens PML-nuclear-body Regulator 26675234 
LLPS-Hos-1272 Q9NR22 PRMT8 ENSG00000111218.11 Homo_sapiens Stress-granule Regulator 26777405 
LLPS-Hos-1663 Q15366 PCBP2 ENSG00000197111.15 Homo_sapiens Nucleolus,P-body,Stress-granule,Postsynapticdensity Regulator 1.9812395269803E+39 
LLPS-Hos-1673 Q9NVI1 FANCI ENSG00000140525.17 Homo_sapiens Nuclear-speckle,Nucleolus Regulator 29030393 
LLPS-Hos-1677 Q03405 PLAUR ENSG00000011422.11 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1698 P55072 VCP ENSG00000165280.15 Homo_sapiens Nucleolus,Stress-granule,Postsynapticdensity Regulator 2.69803002503478E+23 
LLPS-Hos-1699 O95359 TACC2 ENSG00000138162.18 Homo_sapiens Centrosome/Spindlepolebody,Stress-granule Regulator 1.11210381522644E+31 
LLPS-Hos-1708 P13569 CFTR ENSG00000001626.15 Homo_sapiens Receptorcluster Regulator 20089840 
LLPS-Hos-1721 Q6P2E9 EDC4 ENSG00000038358.14 Homo_sapiens Nucleolus,P-body,Stress-granule Regulator 2.00264762597032E+31 
LLPS-Hos-1723 P46926 GNPDA1 ENSG00000113552.15 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-1729 P05198 EIF2S1 ENSG00000134001.12 Homo_sapiens Nucleolus,Stress-granule,Postsynapticdensity Regulator 1.9812395156354E+143 
LLPS-Hos-1735 P32455 GBP1 ENSG00000117228.9 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-1738 P32745 SSTR3 ENSG00000278195.1 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-1746 P31645 SLC6A4 ENSG00000108576.9 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-1755 O14908 GIPC1 ENSG00000123159.15 Homo_sapiens Stress-granule,Postsynapticdensity Regulator 18794846 
LLPS-Hos-1762 P62495 ETF1 ENSG00000120705.12 Homo_sapiens Nucleolus,P-body,Stress-granule Regulator 2698030018794840 
LLPS-Hos-1764 Q9NYB0 TERF2IP ENSG00000166848.5 Homo_sapiens PML-nuclear-body Regulator 27841304 
LLPS-Hos-1765 P78509 RELN ENSG00000189056.13 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1782 P61927 RPL37 ENSG00000145592.13 Homo_sapiens Nucleolus,P-body,Stress-granule Regulator 1563541318794840 
LLPS-Hos-1794 O95631 NTN1 ENSG00000065320.8 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1798 O95755 RAB36 ENSG00000100228.12 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-1828 O14746 TERT ENSG00000164362.19 Homo_sapiens Cajal-body,Stress-granule,Others Regulator 2.6673712267774E+23 
LLPS-Hos-1833 Q9GZM8 NDEL1 ENSG00000166579.15 Homo_sapiens Centrosome/Spindlepolebody,P-body,Stress-granule,Others Regulator 1.25564841547396E+39 
LLPS-Hos-1837 P11234 RALB ENSG00000144118.13 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1848 O60760 HPGDS ENSG00000163106.10 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1850 P51805 PLXNA3 ENSG00000130827.6 Homo_sapiens P-body,Postsynapticdensity Regulator 18794846 
LLPS-Hos-1854 Q14676 MDC1 ENSG00000137337.14 Homo_sapiens DNAdamagefoci,OPTdomain Regulator 25773265 
LLPS-Hos-1857 Q13018 PLA2R1 ENSG00000153246.12 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1869 O75821 EIF3G ENSG00000130811.11 Homo_sapiens Stress-granule Regulator 2.67774052937383E+31 
LLPS-Hos-1879 Q14596 NBR1 ENSG00000188554.13 Homo_sapiens Droplet Regulator 29343546 
LLPS-Hos-1894 P59534 TAS2R39 ENSG00000236398.2 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1896 P54652 HSPA2 ENSG00000126803.9 Homo_sapiens Nucleolus,Centrosome/Spindlepolebody,P-body,Stress-granule,Postsynapticdensity Regulator 2.69803002055259E+30 
LLPS-Hos-1904 Q9UBS0 RPS6KB2 ENSG00000175634.14 Homo_sapiens Centrosome/Spindlepolebody,Stress-granule Regulator 1767889929523870 
LLPS-Hos-1912 A0A096LP55 UQCRHL ENSG00000233954.6 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1913 Q86U42 PABPN1 ENSG00000100836.10 Homo_sapiens Nuclear-speckle,Paraspeckle Regulator 1511796628977530 
LLPS-Hos-1915 P51798 CLCN7 ENSG00000103249.17 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-1940 Q12888 TP53BP1 ENSG00000067369.13 Homo_sapiens DNAdamagefoci Regulator 25773265 
LLPS-Hos-1944 Q14957 GRIN2C ENSG00000161509.13 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-1948 Q9BQA5 HINFP ENSG00000172273.12 Homo_sapiens Histonelocusbody Regulator 28504305 
LLPS-Hos-1956 P55344 LIM2 ENSG00000105370.7 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-1959 Q8IY17 PNPLA6 ENSG00000032444.16 Homo_sapiens Droplet,Postsynapticdensity Regulator 28636604 
LLPS-Hos-1965 Q7Z434 MAVS ENSG00000088888.17 Homo_sapiens Stress-granule Regulator 2635191824659800 
LLPS-Hos-1980 Q9BZP6 CHIA ENSG00000134216.18 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2002 O43781 DYRK3 ENSG00000143479.16 Homo_sapiens Nuclear-speckle,Spindleapparatus,Stress-granule Regulator 29973724 
LLPS-Hos-2004 Q8TEQ6 GEMIN5 ENSG00000082516.8 Homo_sapiens GeminiofCajal-body Regulator 25052091 
LLPS-Hos-2006 Q8TCB0 IFI44 ENSG00000137965.10 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2021 Q9HCX4 TRPC7 ENSG00000069018.18 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2035 Q9H2U1 DHX36 ENSG00000174953.13 Homo_sapiens Nucleolus,P-body,Stress-granule Regulator 1.24298492002647E+55 
LLPS-Hos-2053 Q9H0A6 RNF32 ENSG00000105982.16 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-2073 Q15365 PCBP1 ENSG00000169564.6 Homo_sapiens Nuclear-speckle,Nucleolus,P-body,Stress-granule,Postsynapticdensity Regulator 27746021 
LLPS-Hos-2076 Q05084 ICA1 ENSG00000003147.18 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2083 Q96RU7 TRIB3 ENSG00000101255.10 Homo_sapiens PML-nuclear-body Regulator 28486108 
LLPS-Hos-2104 O43660 PLRG1 ENSG00000171566.11 Homo_sapiens Nuclear-speckle,Nucleolus,Stress-granule Regulator 2.88846831563541E+23 
LLPS-Hos-2108 Q9Y3Z3 SAMHD1 ENSG00000101347.9 Homo_sapiens Stress-granule Regulator 26134849 
LLPS-Hos-2110 O14511 NRG2 ENSG00000158458.19 Homo_sapiens Stress-granule Regulator 1879484627345710 
LLPS-Hos-2118 O94901 SUN1 ENSG00000164828.17 Homo_sapiens PML-nuclear-body Regulator 26728854 
LLPS-Hos-2125 Q15554 TERF2 ENSG00000132604.10 Homo_sapiens PML-nuclear-body Regulator 2784130427833020 
LLPS-Hos-2133 P50750 CDK9 ENSG00000136807.13 Homo_sapiens Droplet,Nuclear-speckle,Nucleolus Regulator 24267890 
LLPS-Hos-2153 O14983 ATP2A1 ENSG00000196296.13 Homo_sapiens Stress-granule,Postsynapticdensity Regulator 18794846 
LLPS-Hos-2157 Q92793 CREBBP ENSG00000005339.14 Homo_sapiens Cajal-body,PML-nuclear-body,Others Regulator 28879433 
LLPS-Hos-2160 P35573 AGL ENSG00000162688.16 Homo_sapiens P-body,Postsynapticdensity Regulator 18794846 
LLPS-Hos-2162 Q13427 PPIG ENSG00000138398.15 Homo_sapiens Nuclear-speckle,Stress-granule Regulator 15358154 
LLPS-Hos-2179 P0DP25 CALM3 ENSG00000160014.16 Homo_sapiens Stress-granule,Postsynapticdensity Regulator 18794846 
LLPS-Hos-2183 Q9UBI6 GNG12 ENSG00000172380.5 Homo_sapiens Stress-granule,Postsynapticdensity Regulator 18794846 
LLPS-Hos-2195 P57678 GEMIN4 ENSG00000179409.10 Homo_sapiens GeminiofCajal-body Regulator 25052091 
LLPS-Hos-2197 O60237 PPP1R12B ENSG00000077157.21 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-2204 P51452 DUSP3 ENSG00000108861.8 Homo_sapiens Stress-granule,Postsynapticdensity Regulator 18794846 
LLPS-Hos-2209 P18583 SON ENSG00000159140.19 Homo_sapiens Nuclear-speckle Regulator 2.28555292848436E+23 
LLPS-Hos-2218 Q8TCF1 ZFAND1 ENSG00000104231.10 Homo_sapiens Stress-granule Regulator 29804830 
LLPS-Hos-2222 Q15154 PCM1 ENSG00000078674.17 Homo_sapiens Centrosome/Spindlepolebody,Pericentriolarmatrix Regulator 1.45196861757403E+39 
LLPS-Hos-2223 Q8N6T7 SIRT6 ENSG00000077463.14 Homo_sapiens Stress-granule Regulator 24013546 
LLPS-Hos-2224 P54274 TERF1 ENSG00000147601.13 Homo_sapiens PML-nuclear-body Regulator 2.7185864278413E+23 
LLPS-Hos-2227 P43119 PTGIR ENSG00000160013.8 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2240 Q99986 VRK1 ENSG00000100749.7 Homo_sapiens Cajal-body,Nucleolus Regulator 26068304 
LLPS-Hos-2242 Q9Y520 PRRC2C ENSG00000117523.16 Homo_sapiens P-body,Stress-granule Regulator 29395067 
LLPS-Hos-2247 P60842 EIF4A1 ENSG00000161960.14 Homo_sapiens Nucleolus,Stress-granule Regulator 1.98123952937383E+63 
LLPS-Hos-2254 P07737 PFN1 ENSG00000108518.7 Homo_sapiens Nucleolus,Stress-granule,Postsynapticdensity,Others Regulator 2.69803002937383E+39 
LLPS-Hos-2260 P13385 TDGF1 ENSG00000241186.9 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2273 Q14055 COL9A2 ENSG00000049089.14 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2276 O76094 SRP72 ENSG00000174780.16 Homo_sapiens Nucleolus,Stress-granule Regulator 2.69803001563541E+31 
LLPS-Hos-2287 Q9NZI8 IGF2BP1 ENSG00000159217.9 Homo_sapiens P-body,Stress-granule,Others Regulator 2.89658172990871E+39 
LLPS-Hos-2290 Q9UJY1 HSPB8 ENSG00000152137.6 Homo_sapiens Stress-granule,Postsynapticdensity Regulator 27570075 
LLPS-Hos-2363 Q96QC0 PPP1R10 ENSG00000204569.9 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2372 Q9NY26 SLC39A1 ENSG00000143570.17 Homo_sapiens Cajal-body Regulator 28878014 
LLPS-Hos-2381 Q99527 GPER1 ENSG00000164850.14 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2386 Q14191 WRN ENSG00000165392.9 Homo_sapiens Nucleolus,PML-nuclear-body,Centrosome/Spindlepolebody Regulator 1563541324413050 
LLPS-Hos-2389 Q01196 RUNX1 ENSG00000159216.18 Homo_sapiens PML-nuclear-body Regulator 15331439 
LLPS-Hos-2393 P49913 CAMP ENSG00000164047.4 Homo_sapiens Receptorcluster Regulator 20089840 
LLPS-Hos-2407 Q9NY59 SMPD3 ENSG00000103056.11 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2411 P78317 RNF4 ENSG00000063978.15 Homo_sapiens PML-nuclear-body Regulator 23530056 
LLPS-Hos-2412 Q9GZM5 YIPF3 ENSG00000137207.11 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2427 Q86Y37 CACUL1 ENSG00000151893.14 Homo_sapiens PML-nuclear-body,Others Regulator 27889610 
LLPS-Hos-2431 Q9UKB1 FBXW11 ENSG00000072803.17 Homo_sapiens P-body Regulator 25900982 
LLPS-Hos-2436 Q86UE8 TLK2 ENSG00000146872.17 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2464 Q9NRA8 EIF4ENIF1 ENSG00000184708.17 Homo_sapiens P-body,Stress-granule Regulator 2.99087101794239E+31 
LLPS-Hos-2471 P78527 PRKDC ENSG00000253729.7 Homo_sapiens DNAdamagefoci,Nucleolus,Centrosome/Spindlepolebody,Stress-granule Regulator 2.57732652002647E+47 
LLPS-Hos-2474 Q16082 HSPB2 ENSG00000170276.5 Homo_sapiens Others Regulator 28854361 
LLPS-Hos-2483 Q9NYY3 PLK2 ENSG00000145632.14 Homo_sapiens Centrosome/Spindlepolebody Regulator 1524261815467460 
LLPS-Hos-2487 Q9HCF6 TRPM3 ENSG00000083067.22 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2507 P23588 EIF4B ENSG00000063046.17 Homo_sapiens Stress-granule Regulator 2937383127282460 
LLPS-Hos-2525 O15273 TCAP ENSG00000173991.5 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2527 Q5VV67 PPRC1 ENSG00000148840.10 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2552 P38398 BRCA1 ENSG00000012048.21 Homo_sapiens PML-nuclear-body,Centrosome/Spindlepolebody Regulator 27295426 
LLPS-Hos-2558 Q9BS26 ERP44 ENSG00000023318.7 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2566 P40763 STAT3 ENSG00000168610.14 Homo_sapiens Nuclear-speckle,Centrosome/Spindlepolebody Regulator 27783096 
LLPS-Hos-2576 Q12988 HSPB3 ENSG00000169271.2 Homo_sapiens Others Regulator 28854361 
LLPS-Hos-2584 Q8WXD5 GEMIN6 ENSG00000152147.10 Homo_sapiens GeminiofCajal-body Regulator 25052091 
LLPS-Hos-2587 Q9GZU5 NYX ENSG00000188937.5 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2590 Q8NDH6 ICA1L ENSG00000163596.16 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2594 O00585 CCL21 ENSG00000137077.7 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2600 O14893 GEMIN2 ENSG00000092208.17 Homo_sapiens GeminiofCajal-body Regulator 25052091 
LLPS-Hos-2611 Q9UBL9 P2RX2 ENSG00000187848.13 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2615 P47893 OR3A2 ENSG00000221882.3 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-2618 Q92993 KAT5 ENSG00000172977.12 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2627 P61278 SST ENSG00000157005.3 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2629 Q92630 DYRK2 ENSG00000127334.10 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2646 O95968 SCGB1D1 ENSG00000168515.3 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2654 P04792 HSPB1 ENSG00000106211.8 Homo_sapiens Nucleolus,P-body,Stress-granule,Postsynapticdensity Regulator 1.98123952896581E+31 
LLPS-Hos-2661 Q8N187 CARF ENSG00000138380.17 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2665 Q99502 EYA1 ENSG00000104313.18 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2682 Q92794 KAT6A ENSG00000083168.10 Homo_sapiens PML-nuclear-body Regulator 23431171 
LLPS-Hos-2688 Q9NZJ5 EIF2AK3 ENSG00000172071.11 Homo_sapiens Stress-granule Regulator 26556863 
LLPS-Hos-2694 Q96B36 AKT1S1 ENSG00000204673.10 Homo_sapiens PML-nuclear-body,P-body Regulator 23431171 
LLPS-Hos-2702 Q15286 RAB35 ENSG00000111737.11 Homo_sapiens Stress-granule,Postsynapticdensity Regulator 18794846 
LLPS-Hos-2712 Q6ISU1 PTCRA ENSG00000171611.9 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2732 Q6ZNA4 RNF111 ENSG00000157450.15 Homo_sapiens PcGbody,PML-nuclear-body Regulator 2491268223530050 
LLPS-Hos-2734 Q14432 PDE3A ENSG00000172572.6 Homo_sapiens Receptorcluster Regulator 20089840 
LLPS-Hos-2745 O75369 FLNB ENSG00000136068.14 Homo_sapiens Droplet,Stress-granule Regulator 28202730 
LLPS-Hos-2753 Q8IYW5 RNF168 ENSG00000163961.4 Homo_sapiens PML-nuclear-body Regulator 26675234 
LLPS-Hos-2762 P15018 LIF ENSG00000128342.4 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2781 Q9NR80 ARHGEF4 ENSG00000136002.18 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2801 Q9BYX4 IFIH1 ENSG00000115267.6 Homo_sapiens Stress-granule Regulator 26351918 
LLPS-Hos-2813 O95817 BAG3 ENSG00000151929.9 Homo_sapiens Stress-granule,Postsynapticdensity Regulator 2677740527570070 
LLPS-Hos-2818 P12035 KRT3 ENSG00000186442.7 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-2821 Q8WUJ0 STYX ENSG00000198252.11 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-2823 Q9H461 FZD8 ENSG00000177283.7 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2826 P43243 MATR3 ENSG00000015479.18 Homo_sapiens P-body,Stress-granule Regulator 2.77336212896581E+31 
LLPS-Hos-2827 P47804 RGR ENSG00000148604.13 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-2828 P16104 H2AFX ENSG00000188486.3 Homo_sapiens DNAdamagefoci,Nucleolus,PML-nuclear-body,Centrosome/Spindlepolebody,Stress-granule Regulator 2.5773265269803E+31 
LLPS-Hos-2835 Q15672 TWIST1 ENSG00000122691.12 Homo_sapiens P-body Regulator 29262563 
LLPS-Hos-2842 O95402 MED26 ENSG00000105085.10 Homo_sapiens Cajal-body,Stress-granule Regulator 2412721718794840 
LLPS-Hos-2878 P61026 RAB10 ENSG00000084733.10 Homo_sapiens Nucleolus,Stress-granule,Postsynapticdensity Regulator 2.69803001981239E+23 
LLPS-Hos-2890 P26374 CHML ENSG00000203668.2 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2891 Q01851 POU4F1 ENSG00000152192.7 Homo_sapiens Stress-granule Regulator 18794846 
LLPS-Hos-2904 P49792 RANBP2 ENSG00000153201.15 Homo_sapiens P-body,Spindleapparatus Regulator 1879484628039200 
LLPS-Hos-2912 P02538 KRT6A ENSG00000205420.10 Homo_sapiens P-body,Stress-granule Regulator 18794846 
LLPS-Hos-2916 Q8NHL6 LILRB1 ENSG00000277807.5 Homo_sapiens P-body Regulator 18794846 
LLPS-Hos-4058 P03372 ESR1 ENSG00000091831.23 Homo_sapiens Droplet Regulator 30449618 
LLPS-Hos-4516 P0DMV8 HSPA1A ENSG00000206383.8 Homo_sapiens Nuclear-speckle,Stress-granule Regulator 2.75277222796606E+23 
LLPS-Mum-0075 Q62093 Srsf2 ENSMUSG00000034120.18 Mus_musculus Nuclear-speckle Regulator 2741860027507880 
LLPS-Mum-0246 P56959 Fus ENSMUSG00000030795.18 Mus_musculus Stress-granule Regulator 3002207429425500 
LLPS-Mum-0435 Q3U0K8 Ogfod1 ENSMUSG00000033009.15 Mus_musculus Stress-granule Regulator 24550447 
LLPS-Mum-0491 Q9D906 Atg7 ENSMUSG00000030314.16 Mus_musculus Stress-granule Regulator 23791177 
LLPS-Mum-0537 O88447 Klc1 ENSMUSG00000021288.18 Mus_musculus P-body,Stress-granule,Postsynapticdensity Regulator 20169188 
LLPS-Mum-0562 Q9JHU4 Dync1h1 ENSMUSG00000018707.13 Mus_musculus P-body,Stress-granule,Postsynapticdensity Regulator 20169188 
LLPS-Mum-0571 Q9CYC6 Dcp2 ENSMUSG00000024472.9 Mus_musculus P-body Regulator 26662055 
LLPS-Mum-0638 P97855 G3bp1 ENSMUSG00000018583.5 Mus_musculus Neuronalgranule,Stress-granule Regulator 2.56519392989194E+47 
LLPS-Mum-0666 P28063 Psmb8 ENSMUSG00000024338.14 Mus_musculus PML-nuclear-body Regulator 15104675 
LLPS-Mum-0683 Q9QZ05 Eif2ak4 ENSMUSG00000005102.13 Mus_musculus Stress-granule Regulator 17475769 
LLPS-Mum-0688 D3Z5F7 Gm20521 ENSMUSG00000092232.1 Mus_musculus Nuclear-speckle,Paraspeckle Regulator 2750788628977530 
LLPS-Mum-0797 P97801 Smn1 ENSMUSG00000021645.16 Mus_musculus Cajal-body,Sam68-nuclear-body,Stress-granule Regulator 2.42043041946428E+23 
LLPS-Mum-0801 Q61823 Pdcd4 ENSMUSG00000024975.12 Mus_musculus Stress-granule Regulator 27454120 
LLPS-Mum-0851 Q8CGY8 Ogt ENSMUSG00000034160.13 Mus_musculus Stress-granule,Postsynapticdensity Regulator 30127386 
